paper_id,claim_id,table_figure,claim,value_script,value_paper,match,value_rewrite,match_rewrite,holds,defect_locus,notes
coppock_2021,fig1_n,Figure 17.1,N,500,500,1,500,1,NA,,"Chapter: ""imagine a 500-person experiment"""
coppock_2021,fig1_n_treated,Figure 17.1,N treated,100,100,1,100,1,NA,,"Chapter: ""exactly 100 units are treated"""
coppock_2021,NA,Figure 17.1,Control group mean,0.515,NA,NA,0.515,NA,NA,,The chapter prints no group means; the figure shows the two points without labelling them
coppock_2021,NA,Figure 17.1,Treatment group mean,0.610,NA,NA,0.610,NA,NA,,As above
coppock_2021,NA,Figure 17.1,The deposited Stata file draws something similar to the R figure,intervals differ in width by at most 0.0024,NA,NA,intervals differ in width by at most 0.0024,NA,NA,,"The deposit's README says its .do file ""produces something similar to Figure 1"", which the chapter itself does not claim. The .do file builds a normal-approximation interval from the group standard deviation where the R script builds an HC2 interval on the t distribution. The two group means are identical and the interval widths differ by at most 0.0024 on a 0 to 1 outcome. It also reads data/two_arm_simulated_data.csv, a directory the deposit does not contain"
coppock_2021,blocked_n_neighborhoods,Figures 17.2 and 17.3,Number of neighborhoods,2,2,1,2,1,NA,,"Chapter: ""an experiment conducted in two neighborhoods"""
coppock_2021,blocked_n1,Figures 17.2 and 17.3,N in neighborhood 1,50,50,1,50,1,NA,,"Chapter: ""The first neighborhood has 50 residents"""
coppock_2021,blocked_n2,Figures 17.2 and 17.3,N in neighborhood 2,100,100,1,100,1,NA,,"Chapter: ""and the second has 100"""
coppock_2021,blocked_n_treated,Figures 17.2 and 17.3,N treated per neighborhood,25,25,1,25,1,NA,,"Chapter: ""needs to treat exactly 25 residents in each neighborhood"""
coppock_2021,NA,Figures 17.2 and 17.3,N total,150,NA,NA,150,NA,NA,,The chapter states the two block sizes but not their sum
coppock_2021,blocked_prob_higher_first,Figure 17.2,Probability of treatment is higher in the first neighborhood,0.50 against 0.25,higher in the first,NA,0.50 against 0.25,NA,1,,"Chapter: ""The probability of treatment is higher in the first neighborhood than the second"""
coppock_2021,blocked_weighted_ate,Figure 17.2,Inverse probability weighted ATE is large and negative,-1.284,large and negative,NA,-1.284,NA,1,,"Chapter: ""the correct analysis shows that the ATE estimate is large and negative"""
coppock_2021,blocked_unweighted_ate,Figure 17.2,Unweighted ATE is close to zero,-0.700,close to zero,NA,-0.700,NA,1,,"Chapter: ""the incorrect analysis estimates the ATE to be close to zero"". Attenuated by 46 per cent and no longer distinguishable from zero (p = 0.16) rather than literally zero"
coppock_2021,fig3_block_effects,Figure 17.3,Small effect in neighborhood 1 and a large negative effect in neighborhood 2,neighborhood 1 = -4.36; neighborhood 2 = 0.25,small in 1 and large negative in 2,NA,neighborhood 1 = -4.36; neighborhood 2 = 0.25,NA,0,paper_internal,"The two neighborhoods are transposed in the sentence. The large negative effect is in neighborhood 1 (-4.36) and the small one is in neighborhood 2 (0.25). The published figure is right and its facets are labelled correctly, and the deposited generator writes the effect as -4 * Z * (neighborhood == 1)"
coppock_2021,fig3b_across_schools,Figure 17.3,Panel b compares across schools,"N/hood 1, N/hood 2",schools,NA,"N/hood 1, N/hood 2",NA,0,paper_internal,"Chapter: ""in Figure 17.3b, we facet by randomly assigned group, so we compare across schools and within treatment group"". The groups compared are the 2 neighborhoods of the blocked design, which the published panel labels in full. No school or class variable exists outside the Figure 17.4 dataset, and the chapter's classroom example is Figure 17.4"
coppock_2021,fig3b_axis_labels,Figure 17.3,Panel b horizontal axis labels,"N/hood 1, N/hood 2",Neighborhood 1,0,"N/hood 1, N/hood 2",0,NA,archive,"The deposited script abbreviates the axis labels of panel (b) to ""N/hood 1"" while writing panel (a)'s in full. The published panel (b) reads ""Neighborhood 1"" and ""Neighborhood 2"", so running the deposited script does not produce the published labels. Nothing published is wrong; the deposit is what falls short, as it does for the Figure 17.4 panel (b) label"
coppock_2021,NA,Figure 17.4,Number of classes,30,NA,NA,30,NA,NA,,The chapter describes a classroom-level trial without giving the number of classrooms
coppock_2021,NA,Figure 17.4,N students,441,NA,NA,441,NA,NA,,Not stated in the chapter
coppock_2021,clustered_outcome_scale,Figure 17.4,Outcome measured on a 400 to 1600 point scale,217 to 1720,400 to 1600,0,217 to 1720,0,NA,paper_internal,"Chapter: ""the outcome is measured on a 400-1600-point scale"". The simulated outcomes run 217 to 1720, and 8 of 441 students fall outside the stated scale. Both panels clip at 400 and 1600, so the published figure does not show them"
coppock_2021,fig4_means_same,Figure 17.4,Group means are the same in both panels,957.9 and 1117.8 in both,the same in both panels,NA,957.9 and 1117.8 in both,NA,1,,"Chapter: ""While the group means are the same in both panels, the 95% confidence intervals in Figure 17.4b were constructed ignoring the clustering"""
coppock_2021,fig4_ci_ignore_clustering,Figure 17.4,Panel b confidence intervals ignore clustering and are narrower,widths 59 and 51 against 174 and 107,narrower,NA,widths 59 and 51 against 174 and 107,NA,1,,Same sentence as the row above; the unclustered intervals are about a third as wide
