paper_id,table_figure,claim,value_script,value_paper,match,value_rewrite,match_rewrite,defect_locus,notes
coppock_2020,Figure 17.1,N,500,500,1,500,1,,"Chapter: ""imagine a 500-person experiment"""
coppock_2020,Figure 17.1,N treated,100,100,1,100,1,,"Chapter: ""exactly 100 units are treated"""
coppock_2020,Figure 17.1,Control group mean,0.515,NA,NA,0.515,NA,,The chapter prints no group means; the figure shows the two points without labelling them
coppock_2020,Figure 17.1,Treatment group mean,0.610,NA,NA,0.610,NA,,As above
coppock_2020,Figure 17.1,The deposited Stata file draws something similar to the R figure,intervals differ in width by at most 0.0024,NA,NA,intervals differ in width by at most 0.0024,NA,,"The deposit's README says its .do file ""produces something similar to Figure 1"", which the chapter itself does not claim. The .do file builds a normal-approximation interval from the group standard deviation where the R script builds an HC2 interval on the t distribution. The two group means are identical and the interval widths differ by at most 0.0024 on a 0 to 1 outcome. It also reads data/two_arm_simulated_data.csv, a directory the deposit does not contain"
coppock_2020,Figures 17.2 and 17.3,Number of neighborhoods,2,2,1,2,1,,"Chapter: ""an experiment conducted in two neighborhoods"""
coppock_2020,Figures 17.2 and 17.3,N in neighborhood 1,50,50,1,50,1,,"Chapter: ""The first neighborhood has 50 residents"""
coppock_2020,Figures 17.2 and 17.3,N in neighborhood 2,100,100,1,100,1,,"Chapter: ""and the second has 100"""
coppock_2020,Figures 17.2 and 17.3,N treated per neighborhood,25,25,1,25,1,,"Chapter: ""needs to treat exactly 25 residents in each neighborhood"""
coppock_2020,Figures 17.2 and 17.3,N total,150,NA,NA,150,NA,,The chapter states the two block sizes but not their sum
coppock_2020,Figure 17.2,Probability of treatment is higher in the first neighborhood,0.50 against 0.25,higher in the first,1,0.50 against 0.25,1,,"Chapter: ""The probability of treatment is higher in the first neighborhood than the second"""
coppock_2020,Figure 17.2,Inverse probability weighted ATE is large and negative,-1.284,large and negative,1,-1.284,1,,"Chapter: ""the correct analysis shows that the ATE estimate is large and negative"""
coppock_2020,Figure 17.2,Unweighted ATE is close to zero,-0.700,close to zero,1,-0.700,1,,"Chapter: ""the incorrect analysis estimates the ATE to be close to zero"". Attenuated by 46 per cent and no longer distinguishable from zero (p = 0.16) rather than literally zero"
coppock_2020,Figure 17.3,Small effect in neighborhood 1 and a large negative effect in neighborhood 2,neighborhood 1 = -4.36; neighborhood 2 = 0.25,small in 1 and large negative in 2,0,neighborhood 1 = -4.36; neighborhood 2 = 0.25,0,paper_internal,"The two neighborhoods are transposed in the sentence. The large negative effect is in neighborhood 1 (-4.36) and the small one is in neighborhood 2 (0.25). The published figure is right and its facets are labelled correctly, and the deposited generator writes the effect as -4 * Z * (neighborhood == 1)"
coppock_2020,Figure 17.4,Number of classes,30,NA,NA,30,NA,,The chapter describes a classroom-level trial without giving the number of classrooms
coppock_2020,Figure 17.4,N students,441,NA,NA,441,NA,,Not stated in the chapter
coppock_2020,Figure 17.4,Outcome measured on a 400 to 1600 point scale,217 to 1720,400 to 1600,0,217 to 1720,0,paper_internal,"Chapter: ""the outcome is measured on a 400-1600-point scale"". The simulated outcomes run 217 to 1720, and both panels clip at 400 and 1600, so the published figure does not show the eight students who fall outside"
coppock_2020,Figure 17.4,Group means are the same in both panels,957.9 and 1117.8 in both,the same in both panels,1,957.9 and 1117.8 in both,1,,"Chapter: ""While the group means are the same in both panels, the 95% confidence intervals in Figure 17.4b were constructed ignoring the clustering"""
